"Player","Pos_C","Pos_F","Pos_PF","Pos_PG","Pos_SF","Pos_SF-PF","Pos_SG","Age","Tm_ATL","Tm_BOS","Tm_BRK","Tm_CHI","Tm_CHO","Tm_CLE","Tm_DAL","Tm_DEN","Tm_DET","Tm_GSW","Tm_HOU","Tm_IND","Tm_LAC","Tm_LAL","Tm_MEM","Tm_MIA","Tm_MIL","Tm_MIN","Tm_NOP","Tm_NYK","Tm_OKC","Tm_ORL","Tm_PHI","Tm_PHO","Tm_POR","Tm_SAC","Tm_SAS","Tm_TOR","Tm_TOT","Tm_UTA","Tm_WAS","G","GS","MP","FG","FGA","X3P","X3PA","X2P","X2PA","eFG.","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","weight","salary"
"Eric Paschall",0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,17.7,3.9,7.7,0.5,1.4,3.5,6.3,0.537,1.7,2.4,0.9,2.5,3.4,1.3,0.2,0.1,0.8,1.7,10,15,0.571,0.179,0.313,5.3,14.5,10,11.3,0.5,0.6,8,23,0.5,0.4,0.9,0.099,-0.6,-1.8,-2.5,-0.1,115.7,898310
"Chris Paul",0,0,0,1,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,26,32.4,6.5,13.4,1.5,4,5.1,9.4,0.543,2.7,2.7,0.6,4.1,4.7,8.2,1.2,0.3,2.3,2.7,17.2,20.4,0.589,0.296,0.204,2,13.8,8,38.9,1.9,0.7,13.9,23.4,2.2,1.1,3.2,0.183,2.7,1.2,3.9,1.3,79.4,38506482
"Cameron Payne",0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,17.2,2.6,5.6,0.9,2.4,1.6,3.2,0.545,0.6,0.6,0.1,1.8,1.9,3.6,0.6,0.2,1.2,2.1,6.6,13.5,0.57,0.427,0.101,0.8,11,6,30,1.6,1,17,18.3,0.3,0.3,0.6,0.111,-0.7,0.9,0.2,0.2,81.6,346288
"Elfrid Payton",0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,30,27.7,5.2,11.8,0.5,1.9,4.7,9.9,0.46,1.4,1.9,1.3,2.6,3.8,3.6,0.6,0.2,1.9,2,12.2,11.9,0.484,0.158,0.161,4.9,9.5,7.3,20.9,1.1,0.7,13.1,23.2,-0.4,0.9,0.5,0.028,-2.3,-1.1,-3.4,-0.3,83.9,8e+06
"Theo Pinson",0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,2.3,0.1,0.8,0,0.7,0.1,0.1,0.143,0,0,0,0.1,0.1,0,0,0,0,0.3,0.2,-9.7,0.143,0.857,0,0,4.9,2.5,0,0,0,0,14.7,-0.1,0,-0.1,-0.223,-13.7,-3.7,-17.4,-0.1,99.8,1445697
"Mason Plumlee",1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,27.9,4.2,7,0,0.2,4.2,6.8,0.596,1.8,2.6,3,5.8,8.8,3.4,0.9,0.7,2,3.5,10.2,17.2,0.622,0.027,0.372,11.7,24.3,17.8,19.3,1.6,2.2,19.9,15.8,1.3,0.9,2.1,0.142,-0.3,1.2,0.9,0.5,108,14041096
"Jakob Poeltl",1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,9,22.2,3,4.9,0,0,3,4.9,0.611,0.4,1.4,3,4,7,1.7,0.6,1.5,1.1,2.1,6.4,16.5,0.582,0,0.29,13.6,19.1,16.3,10.5,1.3,5.8,17.3,12.8,0.8,1,1.8,0.14,-1,0.8,-0.2,0.3,108.4,3754885
"Vincent Poirier",1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,4.5,0.3,0.8,0,0,0.3,0.8,0.333,0.5,1,0.5,0.5,1,0.3,0,0.5,0.3,0.3,1,10.4,0.42,0,1.333,12.6,11.8,12.2,6.9,0,9.9,17.4,13.5,0,0,0,0.038,-4,0.1,-3.8,0,106.6,2505793
"Jordan Poole",0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,9.5,1.7,4.1,0.9,2.6,0.9,1.5,0.533,1.2,1.3,0.1,1.1,1.2,0.9,0.2,0.1,0.5,0.9,5.5,14.6,0.598,0.639,0.311,1.5,11.5,6.6,13.4,1,1.2,10.3,22.9,0.2,0.1,0.3,0.108,0.2,-0.8,-0.6,0.1,88,1964760
"Otto Porter",0,0,0,0,1,0,0,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,23.3,4,9,1.8,4.4,2.3,4.6,0.542,1.9,2.3,1.3,5,6.3,2,0.6,0.2,0.9,1.6,11.6,16.5,0.582,0.486,0.25,6.1,23.5,14.9,12.2,1.1,0.7,8.6,20,0.6,0.4,1,0.131,1.5,-1.1,0.3,0.2,89.8,27250576
"Bobby Portis",1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,21.8,5,9,1.1,2.2,3.9,6.8,0.615,0.7,1,2,5.3,7.3,1.1,0.9,0.4,0.8,2,11.8,20.9,0.622,0.246,0.111,9.8,25.2,17.7,7.2,1.9,1.6,7.4,19.6,1.5,0.9,2.4,0.189,2.6,-0.5,2.1,0.6,111.6,1.5e+07
"Dwight Powell",1,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,16.3,1.4,2.8,0.1,0.4,1.4,2.4,0.521,1.8,2.6,1.2,2.4,3.6,0.9,0.8,0.4,0.6,2.4,4.7,12.7,0.599,0.149,0.957,7.9,16.3,12.1,7.6,2.3,2.1,14.1,12.3,0.4,0.3,0.7,0.118,-2.6,1,-1.6,0,106.1,10259375
"Norman Powell",0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,15,28.3,5.5,11.8,2.3,5.3,3.2,6.5,0.56,3,3.4,0.4,2.5,2.9,1.5,1.1,0.2,1.4,2,16.3,15.3,0.609,0.451,0.289,1.6,10,5.6,8,1.8,0.6,9.6,22.3,1,0.5,1.6,0.103,0,-0.8,-0.8,0.2,97.5,10116576
"Taurean Prince",0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,10,21.9,2.8,7.2,1.4,3.5,1.4,3.7,0.49,1.7,2,0.4,3.2,3.6,1.7,0.7,0.7,1.1,1.9,8.7,11.7,0.541,0.49,0.273,2.2,16.2,9.2,11.1,1.6,2.8,12.5,18.1,0.1,0.5,0.6,0.053,-1.4,-0.4,-1.8,0,99.8,3481985
"Julius Randle",0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,30,36.7,8.1,16.9,1.8,4.5,6.3,12.4,0.535,5.1,6.4,1.4,9.5,10.9,5.5,0.7,0.2,3.3,3.1,23.2,20.7,0.589,0.267,0.379,4,26.6,15.5,25.8,1,0.5,14.2,27.6,1.9,1.7,3.6,0.159,3.3,0.8,4.2,1.7,113.4,1.8e+07
"Naz Reid",1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,21.5,4.9,9.3,1.1,2.7,3.8,6.6,0.582,1.7,2.3,1.3,3.6,4.9,1.3,0.7,1.2,1.1,3.1,12.5,18.9,0.607,0.292,0.252,6.3,18.7,12.2,10.1,1.5,4.7,10,22.3,0.9,0.6,1.5,0.126,0.1,0.1,0.2,0.3,112.9,898310
"Josh Richardson",0,0,0,0,0,0,1,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,31.6,4.4,10.3,1.5,5.2,2.8,5.2,0.497,2.2,2.4,1,1.9,2.9,2.7,0.8,0.2,1.4,2.9,12.5,11,0.549,0.5,0.23,3.5,6.6,5,12,1.3,0.6,10.8,17.6,0.5,0.2,0.6,0.05,-1.7,-1.6,-3.2,-0.2,90.7,10116576
"Austin Rivers",0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,2,21,2.8,6.4,1.3,3.7,1.4,2.8,0.533,0.5,0.7,0.2,2,2.2,2,0.6,0,1,1.5,7.3,9.7,0.545,0.57,0.104,1.2,9.8,5.6,14.1,1.4,0,13.5,16.3,0.1,0.5,0.6,0.06,-2.3,-0.7,-3,-0.1,90.7,2174310
"Duncan Robinson",0,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,33.3,4,9.7,3.3,8.4,0.8,1.4,0.583,1.3,1.5,0,3.8,3.8,1.5,0.4,0.3,1.5,2.3,12.6,8.8,0.607,0.86,0.151,0.1,12,6.4,6.9,0.6,0.8,12.4,15.8,0.2,0.7,0.9,0.046,-1.3,-1.5,-2.7,-0.2,97.5,1416852
"Glenn Robinson III",0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,1,15.7,1.8,4.2,0.7,2,1.1,2.3,0.516,1,1,0.3,1.3,1.6,0.9,0.1,0.1,0.5,1,5.3,9.2,0.567,0.462,0.247,2.2,9.3,5.7,7.6,0.4,0.7,8.8,13.9,0.3,-0.1,0.2,0.03,-1.6,-2.8,-4.4,-0.2,95.7,1882867
"Jerome Robinson",0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,3,17,1.7,5.2,0.7,2.4,1,2.8,0.396,1.2,1.3,0.2,2.4,2.5,1.4,0.5,0.2,0.8,1.6,5.2,6,0.456,0.463,0.254,0.9,15.2,7.8,10.8,1.3,0.8,12.9,16,-0.2,0.1,-0.1,-0.022,-5.3,-1.7,-7.1,-0.3,86.2,3567720
"Mitchell Robinson",1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,27,28.8,3.8,5.8,0,0,3.8,5.8,0.66,0.8,1.7,3.6,4.8,8.4,0.5,1.2,1.5,0.8,2.9,8.4,17.5,0.647,0,0.295,13.3,17.1,15.2,2.7,2.1,5.2,11.1,11.3,1.5,1.5,3,0.185,-0.4,1.2,0.8,0.6,101.2,1559712
"Rajon Rondo",0,0,0,1,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,15.3,1.4,3.9,0.6,1.9,0.8,2.1,0.418,0.1,0.1,0.3,2,2.3,3.9,0.6,0.1,1.4,0.9,3.4,8.9,0.421,0.473,0.036,2,13.9,8.1,34.6,2,0.4,25.4,14.9,-0.2,0.2,0,0.007,-3.2,-0.3,-3.5,-0.1,84.4,2564753
"Derrick Rose",0,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,22.3,5,11.7,0.8,2.4,4.2,9.3,0.462,2.7,3.2,0.4,1.8,2.2,4,1.2,0.4,1.9,1.1,13.5,17.3,0.514,0.205,0.269,1.7,9.1,5.3,31.9,2.5,1.5,12.4,29.2,0.1,0.5,0.5,0.059,0.8,-0.4,0.4,0.3,86.2,7317074
"Terrence Ross",0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,1,28.8,5.5,13.3,2,5.7,3.5,7.6,0.488,2.4,2.6,0.3,2.9,3.2,2.1,1,0.5,1.8,2,15.3,12.6,0.53,0.427,0.199,1,11,5.8,12,1.6,1.7,11.2,24.1,-0.1,0.8,0.6,0.037,-1.4,-1,-2.4,-0.1,93.4,12500000
"Terry Rozier",0,0,0,0,0,0,1,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,33.3,7.5,15.2,3.4,7.7,4,7.5,0.602,2.2,2.8,0.6,3.5,4.1,3,1.3,0.5,1.7,2,20.6,18.3,0.625,0.505,0.184,1.8,11.4,6.5,14.6,1.8,1.4,9.5,23.2,1.6,0.8,2.4,0.133,3.2,-0.6,2.6,1,86.2,19894737
"Ricky Rubio",0,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12,25.1,2.5,6.7,0.6,2.1,1.9,4.6,0.414,1.6,2,0.4,3,3.4,6.5,1.3,0,2.1,2.2,7.2,11.2,0.475,0.32,0.293,1.7,13.4,7.2,35.1,2.4,0,21.5,16.1,0,0.5,0.5,0.038,-3.7,-0.7,-4.4,-0.4,81.6,16200000
"D'Angelo Russell",0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,29.2,7,16.3,3,7.4,4,8.9,0.517,2.4,3.2,0.5,2.2,2.6,5.1,1.1,0.5,2.7,2,19.3,16.4,0.544,0.454,0.196,1.6,8.4,4.8,28.9,1.8,1.4,13.2,29.4,0.2,0.3,0.5,0.04,2.3,-1.8,0.4,0.4,87.5,27285000
"Domantas Sabonis",0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,36.4,8.2,15.5,1,2.8,7.2,12.7,0.56,4.1,5.8,2.8,8.8,11.6,5.7,1,0.7,3.4,3.6,21.5,20.7,0.595,0.18,0.376,8.6,26.4,17.6,24.3,1.3,1.6,15.8,25.6,1.9,1.4,3.3,0.151,2.7,0.8,3.4,1.4,104.8,3529554
"JaKarr Sampson",0,0,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0.8,1.9,0,0.2,0.8,1.7,0.44,0.6,0.8,0.5,1.5,2,0,0.1,0.2,0.2,0.7,2.3,12.1,0.51,0.12,0.4,10,26.5,18.4,0,0.6,3.3,9.3,18,0,0.1,0.1,0.073,-3.6,-1.8,-5.4,-0.1,101.2,1737145
"Mike Scott",0,0,1,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,3,17.5,1.5,4.4,1,3.5,0.5,0.9,0.448,0.2,0.3,0.4,2.3,2.6,0.1,0.3,0.2,0.5,1.4,4.1,3.9,0.456,0.792,0.063,2.4,13.7,8.2,0.7,0.7,0.9,9.2,11.9,-0.2,0.2,0,0.002,-4.6,-1.9,-6.6,-0.2,107.5,4767000
"Collin Sexton",0,0,0,0,0,0,1,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,35.3,8.4,17.4,1.5,3.6,7,13.8,0.526,4.5,5.5,0.8,1.8,2.5,4.3,1.1,0.2,2.5,2.9,22.8,17.3,0.574,0.206,0.319,2.3,5.8,4,21.1,1.5,0.4,11,27.1,1.2,0.3,1.5,0.085,1.6,-1.5,0.1,0.4,86.2,4764960
"Landry Shamet",0,0,0,0,0,0,1,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,19,2.3,6.2,1.6,4.5,0.8,1.7,0.503,1.1,1.3,0.2,1.3,1.5,1.3,0.5,0.2,0.8,1.3,7.4,9.1,0.544,0.728,0.204,1.2,7.5,4.5,9.1,1.2,0.7,10.6,17.3,0.2,0.2,0.3,0.031,-2.4,-1.6,-4,-0.3,81.6,1995120
"Pascal Siakam",0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,25,35.8,7.6,16.8,1.2,4.2,6.4,12.6,0.492,4.1,5.1,2.2,5.6,7.8,4.5,1.2,0.6,2.2,3.1,20.6,17.6,0.541,0.248,0.305,6.6,17.8,12,20.1,1.6,1.7,10.5,25.4,1.2,0.9,2.1,0.113,0.5,-0.8,-0.2,0.4,103,2351838
"Ben Simmons",0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,25,33.4,5.8,10.4,0,0.2,5.8,10.2,0.563,3.5,5.3,1.6,6.7,8.3,8,1.7,0.8,3.4,3.2,15.2,19.9,0.599,0.023,0.508,5.4,21.2,13.6,35,2.4,2.1,20.9,20.3,1.5,1.3,2.8,0.163,1.6,2.6,4.2,1.3,108.9,8113929
"Anfernee Simons",0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,17.9,3,7.4,2.2,5.2,0.8,2.1,0.563,0.8,0.9,0.2,2.1,2.3,1.2,0.2,0.2,0.8,1.7,9,12.7,0.582,0.712,0.125,1.4,13,6.9,10.2,0.7,1,9.8,20.6,0.5,0.1,0.6,0.065,0.7,-2.3,-1.6,0,82.1,2149560
"Marcus Smart",0,0,0,1,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,32.3,4.4,11.1,1.6,5.3,2.7,5.8,0.468,2.7,3.6,0.4,2.4,2.8,6.1,1.8,0.5,1.8,2.3,13.1,14.6,0.516,0.479,0.33,1.4,8.3,4.8,26.4,2.8,1.5,12.2,19.1,0.6,0.6,1.2,0.106,0,0.2,0.3,0.3,103,12553571
"Tony Snell",0,0,0,0,0,0,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,12.9,1.1,2.7,0.9,1.9,0.1,0.7,0.575,0,0,0.4,1.2,1.6,0.9,0.1,0.1,0.4,0.9,3.1,7.3,0.575,0.725,0,3.4,9.9,6.7,9.9,0.3,0.9,13,10.2,0.1,0.1,0.2,0.052,-1.5,-0.8,-2.3,0,89.8,11392857
"Edmond Sumner",0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,9.4,1.5,3,0.3,1,1.2,2,0.552,0.6,0.9,0.4,0.9,1.3,0.5,0.5,0.1,0.6,1.1,3.9,11.4,0.572,0.333,0.292,4.5,10.9,7.7,7.5,2.6,0.6,15.6,18.6,0,0.2,0.2,0.053,-3.4,0.3,-3.1,0,84.4,2e+06
"Jayson Tatum",0,0,0,0,1,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,35.2,9.3,20.8,2.7,7,6.6,13.8,0.515,4.4,5,0.6,6.4,7,4.7,1.3,0.4,2.4,1.9,25.8,21.4,0.561,0.338,0.238,1.7,20.9,11.1,23,1.7,1,9.6,30.9,1.4,1,2.4,0.142,4.6,0,4.6,1.4,92.5,7830000
"Jeff Teague",0,0,0,1,0,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,17.3,1.8,5.7,0.7,1.7,1.1,4,0.385,1.2,1.3,0.3,1.3,1.6,2,0.9,0.1,1.1,1,5.5,8.2,0.443,0.292,0.231,1.9,8.6,5.2,15.7,2.6,0.7,14.9,18.1,-0.4,0.4,0,0.004,-4.2,-0.3,-4.5,-0.2,82.1,1.9e+07
"Garrett Temple",0,0,0,0,0,0,1,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,27.5,3.2,7.6,1.5,4.3,1.7,3.3,0.528,0.8,1,0.5,2.6,3.1,2,1.1,0.5,1,2.4,8.8,9.6,0.551,0.563,0.137,2.1,10.2,6.2,9.4,1.8,1.6,11.4,14,0.3,0.7,0.9,0.063,-2.7,0.1,-2.6,-0.1,88.5,4767000
"Daniel Theis",1,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,21,24,3.7,6.5,0.9,2.2,2.8,4.2,0.64,1.1,1.6,1.3,3.8,5.1,1.4,0.6,1,1,2.8,9.3,15.5,0.653,0.345,0.244,5.9,18.2,11.9,8.4,1.2,3.9,12.7,14.6,1.1,0.7,1.9,0.145,-0.2,0.7,0.5,0.4,97.5,5e+06
"Matt Thomas",0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,6,0.8,2,0.6,1.5,0.1,0.5,0.554,0.3,0.3,0.1,0.6,0.6,0.4,0.1,0,0.3,0.4,2.5,10.5,0.588,0.75,0.143,1.3,10.9,5.9,10.1,1.1,0,11.8,17.1,0.1,0,0.1,0.063,-1.1,-1.7,-2.8,0,89.4,898310
"Tristan Thompson",0,0,1,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,21,22.5,2.8,5.6,0,0.1,2.8,5.5,0.507,1.3,2.1,2.9,5.4,8.3,0.8,0.3,0.3,0.9,2.2,7,13.6,0.533,0.014,0.37,14.1,27.3,20.5,5,0.7,1.4,12.4,14.1,0.6,0.7,1.3,0.107,-1.5,-1.6,-3.1,-0.2,102.1,18539130
"Matisse Thybulle",0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,1,17.7,1.2,3.2,0.6,2,0.7,1.2,0.476,0.2,0.5,0.3,1,1.3,0.8,1.6,0.8,0.3,2,3.3,9.1,0.481,0.627,0.145,2,6,4,5.5,4.2,4.2,8.3,8.8,0,0.8,0.8,0.087,-3.2,4.2,1,0.4,91.2,2582160
"Karl-Anthony Towns",1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,33.1,7.7,15.1,2,4.7,5.7,10.4,0.574,4.4,4.8,3.1,7.4,10.6,3.3,1,1.9,2.8,3.3,21.8,23.9,0.633,0.309,0.316,9.6,25.5,17.1,16.6,1.4,4.7,13.9,25.4,0.7,0.4,1.1,0.173,3.4,0.9,4.3,0.5,112.5,27285000
"Myles Turner",1,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,31.2,4.7,9.4,1.4,4.4,3.2,4.9,0.575,2.4,3.1,1.3,5.3,6.6,1,1.1,3.5,1.4,3.6,13.2,17,0.615,0.474,0.336,4.5,18.5,11.6,4.4,1.7,9.6,11.3,16.9,0.9,1.6,2.4,0.14,-0.7,2.2,1.4,0.7,108.4,1.8e+07
"Denzel Valentine",0,0,0,0,0,0,1,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,20.1,3.2,8.2,1.9,5,1.3,3.2,0.503,0.3,0.3,0.3,3.6,3.9,1.8,0.7,0,0.6,1.3,8.5,11.8,0.511,0.606,0.032,2,19.4,10.8,12.4,1.7,0.2,6.4,18.7,0.1,0.5,0.6,0.062,-0.9,-0.8,-1.7,0,95.3,3377568
"Jarred Vanderbilt",0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,10,19.1,2.5,4.2,0,0.1,2.5,4.1,0.606,1,1.9,1.9,4.1,6,1.7,1.1,0.7,0.9,2.2,6,16.7,0.602,0.018,0.451,9.9,24.6,16.8,12.9,2.8,2.9,15.6,13.1,0.7,0.7,1.5,0.135,-1.4,1.3,-0.1,0.3,97.1,1416852
"Fred VanVleet",0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,28,36.4,6.9,16.6,3.3,8.7,3.6,7.9,0.516,3.3,3.6,0.7,3.5,4.2,6.6,1.7,0.7,2.1,2.3,20.4,18.3,0.56,0.525,0.219,2.1,11,6.4,27.9,2.3,1.9,10.2,23.7,2,1,3,0.14,2.9,-0.1,2.8,1.2,89.4,9346153
"Noah Vonleh",0,1,0,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2.7,0,0.7,0,0.3,0,0.3,0,0,0,0,0.3,0.3,0.3,0,0,0.7,0.7,0,-20.9,0,0.5,0,0,13.2,7,13.8,0,0,50,21.6,-0.1,0,-0.1,-0.536,-24.1,-9.2,-33.3,-0.1,112,2e+06
"Moritz Wagner",1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,3,13.6,2.3,3.9,0.4,1.3,1.9,2.6,0.648,1.1,1.8,0.4,2.6,3.1,0.9,0.6,0.3,0.6,2.6,6.1,15.4,0.662,0.333,0.463,3.2,21,11.8,9.9,2.2,1.8,11,15.8,0.3,0.2,0.6,0.138,-1.3,0.9,-0.4,0.1,108.9,2063520
"Kemba Walker",0,0,0,1,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,28,5.5,15,2.6,7.3,2.8,7.7,0.451,2.8,3.2,0.5,3.2,3.7,4,1.1,0.2,2.2,1.3,16.4,14.2,0.5,0.487,0.21,2.1,12.9,7.3,22,1.9,0.5,12,28.4,0,0.3,0.3,0.043,0.7,-0.9,-0.3,0.2,78,32742000
