"Player","Pos_C","Pos_F","Pos_PF","Pos_PG","Pos_SF","Pos_SF-PF","Pos_SG","Age","Tm_ATL","Tm_BOS","Tm_BRK","Tm_CHI","Tm_CHO","Tm_CLE","Tm_DAL","Tm_DEN","Tm_DET","Tm_GSW","Tm_HOU","Tm_IND","Tm_LAC","Tm_LAL","Tm_MEM","Tm_MIA","Tm_MIL","Tm_MIN","Tm_NOP","Tm_NYK","Tm_OKC","Tm_ORL","Tm_PHI","Tm_PHO","Tm_POR","Tm_SAC","Tm_SAS","Tm_TOR","Tm_TOT","Tm_UTA","Tm_WAS","G","GS","MP","FG","FGA","X3P","X3PA","X2P","X2PA","eFG.","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","weight","salary"
"LeBron James",0,0,0,1,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,34.7,9.4,18.8,2.5,6.7,6.9,12.1,0.571,4.2,6,0.6,7.6,8.2,7.9,1,0.5,3.7,1.6,25.7,24.2,0.6,0.355,0.318,2,23.6,13.2,38.4,1.4,1.3,14.8,31.4,2.3,1.9,4.2,0.2,5.8,1.3,7.2,2.3,113.4,37436858
"Cameron Johnson",0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,9,25.4,3.8,8.6,2.2,5.9,1.6,2.7,0.564,1,1.1,0.6,3,3.6,1.5,0.6,0.3,0.8,1.3,10.7,13.2,0.588,0.687,0.133,2.8,12.8,7.9,8.3,1.2,1,7.8,17.5,0.8,0.7,1.5,0.105,1.1,-0.4,0.7,0.5,95.3,4033440
"James Johnson",0,0,1,0,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,18.4,2.6,5.3,0.6,2.2,2,3.2,0.545,0.6,1,0.5,2.6,3.1,1.6,0.9,0.8,1.1,2.1,6.4,12.3,0.55,0.407,0.195,2.8,15.6,9.2,12.4,2.3,4.3,15.8,16.4,0,0.5,0.5,0.052,-2,1.9,-0.1,0.2,111.1,15349400
"Keldon Johnson",0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,27,30.1,5.3,11.4,1,3,4.4,8.4,0.51,2.9,3.7,1.7,5.2,7,2.3,0.8,0.5,1.5,2.3,14.5,15.3,0.556,0.26,0.321,5.8,18.5,12,10.9,1.2,1.5,10.2,20.7,0.7,1,1.7,0.101,-0.3,-0.7,-1,0.2,95.7,1950600
"Stanley Johnson",0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,1,14.7,1,2.5,0.6,1.5,0.4,1,0.524,0.4,0.6,0.6,2,2.5,1.4,0.8,0.3,0.7,1.7,3,9.6,0.558,0.597,0.226,4.1,15.2,9.5,12.7,2.7,2.2,20.9,10,0.2,0.5,0.6,0.084,-2.5,2,-0.5,0.1,109.8,3623000
"Tyler Johnson",0,0,0,0,0,0,1,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,12.2,1.6,3.6,1.2,2.5,0.5,1.2,0.606,0.2,0.2,0.2,1,1.2,0.8,0.3,0,0.3,0.6,4.5,11.1,0.616,0.681,0.043,1.5,8.7,5.3,9,1.2,0,7.7,14.1,0.2,0,0.3,0.079,-0.7,-1.6,-2.3,0,84.4,19428485
"Tyus Jones",0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,23.5,3.3,8,0.7,2.8,2.5,5.2,0.451,0.5,0.6,0.6,2.1,2.8,5.3,1.3,0.1,1,0.5,7.7,14.2,0.466,0.354,0.078,2.8,10.2,6.4,30.5,2.7,0.5,10.4,16.7,0.4,0.5,1,0.083,-0.8,0.3,-0.6,0.2,83.9,10116000
"DeAndre Jordan",1,0,0,0,0,0,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,22,21.6,3.2,4,0,0,3.2,4,0.788,0.8,1.5,1.8,5.3,7,1.9,0.3,1.4,1.7,2.1,7.2,16.7,0.764,0,0.372,9.7,25.7,18.1,11.6,0.7,5.2,26.7,12.8,1.1,0.7,1.8,0.139,-0.4,1.5,1.1,0.5,120.2,9881598
"Cory Joseph",0,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,1,19.8,2.7,5.7,0.7,2,2,3.7,0.529,0.7,1,0.4,1.7,2.1,2.4,0.8,0.2,1.1,2.2,6.8,10.8,0.551,0.355,0.174,2.2,9.3,5.7,16.4,2,0.9,14.8,15.6,0.3,0.1,0.4,0.034,-3.1,-0.5,-3.5,-0.2,83.9,1.2e+07
"Frank Kaminsky",1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,6,15.8,2.6,5.8,0.8,2,1.9,3.8,0.517,0.7,1.2,1,3.5,4.5,2,0.2,0.5,0.5,1.6,6.7,16.2,0.531,0.339,0.2,6.8,24,15.6,18.4,0.6,2.8,7.4,19.2,0.5,0.4,0.9,0.138,0.8,1.5,2.3,0.3,104.8,4767000
